,sentence,sentiment
0,i know it s probably the only reason i m not calling him on it i ll suck it up he s otherwise great to work with,1
1,living in an empty haunted house,0
2,i can only hold my breath for a min and sec i thot i culd do more,0
3,ahahha it s a very long road,0
4,not feeling all that wonderful today damn migraine,0
5,you are awesome in the hannah montana movie a reply would be a great graduation present for tomorrow,1
6,is that a good thing,1
7,i m not getting your updates,0
8,its okay i just dont know what to do,0
9,at the health centre about to go in hope i don t blub again,0
10,lovely and burn and patrick lol can t wait till the morning after the gig when we can look at the pics,1
11,whew hope it gets completely healed soon seriously though you missed a joyous trip to the hospital,1
12,i like your thinking movies and rasberries cant go wrong but what movies,1
13,that would be me and my bff who just came to say hi haha,1
14,computer and car broken not a fun day,0
15,fml no really car ate corner of client s building and now i m searching for two lost checks due at boss house in two hours wtf,0
16,twittermovies girl in red coat occasionally runs through black and white movie then she doesn t any more,0
17,looking online at condos i need to stop looking out of my price range but daaang there s some nice places,0
18,oh no the one day i didnt go into uni if u decide to do the harbour bridge climb make sure you go to the bathroom st,1
19,i would but my mum won t let me go i can t go to all these concerts,0
20,ohhhhhhhhhhhh no yay for being ill again over something out of my control why why why,0
21,getting ready to watch the final of theapprentice kate ftw,1
22,didn t buy it for me haha maybe next time how are you all doing this twitterific weekend anything exciting happened,0
23,just got up and no ones home,0
24,so ya i m single but i still love her and ple loves me its just bad time,0
25,is really ill and has cancelled the photoshoot today hope i m better in time to play tomorrow,0
26,if you want text me im kinda bored but in love with a cat x,1
27,yeah it stunk o well i caught up on some sleep,0
28,wish ya were here watchin hannah montanna with me i needa buy the series x,0
29,i was flyyyiiinnnggg today,1
30,come visit the history center for civil war saturday a day of family fun for carload,1
31,yeah twitter is up but the person i wanted to talk to is probably asleep,0
32,how do you get over the bag that got away like being obsessed with a bag and you can t get it anywhere,0
33,iremember going to my first concert which was the backstreet boys and it being the most amazing thing ever lol,1
34,ahaha i love how everyone thinks im adorable i try my best to sound my age but i always sound years old when i talk,1
35,i m sorry my love i would be there with you,0
36,witches are very welcome here as are their familiars,1
37,i m busting a gut except i really am busting a gut haha good burn,1
38,sometimes i hate being a grown up i just want to go play outside,0
39,ffs over slept without revising half of the stuff did terribly in physics,0
40,im finally eating a little i want mimi and yes kevin is cheering me up but i want him here please get him,0
41,doesnt want to babysit tonight,0
42,not looking good for this missing flight,0
43,yup i ll be in on monday as normal ten till half,1
44,storms all week yes please,1
45,is alone for the first time in ages,0
46,i feel bad now what if or wants to come,0
47,same problem here tried it st with previous version itunes after updating problem still excists,0
48,getting three shots today eep i m not scared but they aren t fun,0
49,it s back to monday ready to take the week head on,1
50,lol that could indeed be a sign of twitter addiction there s probably a step program for that too,1
51,i wish i had booked an earlier flight home people are leaving and i m left alone a little sick and blue too days to go,0
52,toller soundtrack,1
53,i have left the palace until next time heading back to the usa time to wake up,0
54,oh noes kitty hugs we s so sowwy sof purrrrrrrrrrrs for yoo and yore fambly,0
